what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1354212194243
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1354212194243
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1354212194243
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1354212194243
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1354212194243
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1354212194243
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1354212194243
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1354212194243
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1354212194243
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1354212194243
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1354212194259
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1354212194275
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1354212194275
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1354212194290
os,sysinfo,,,"win32",1354212194290
arch,sysinfo,,,"x86_64",1354212194290
ws,sysinfo,,,"win32",1354212194290
locale,sysinfo,,,"en_US",1354212194290
processors,sysinfo,,,"4",1354212194290
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354212194290
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1354212194290
java.specification.name,sysinfo,,,"Java Platform API Specification",1354212194290
java.specification.vendor,sysinfo,,,"Oracle Corporation",1354212194290
java.specification.version,sysinfo,,,"1.7",1354212194290
java.vendor,sysinfo,,,"Oracle Corporation",1354212194290
java.version,sysinfo,,,"1.7.0_09",1354212194290
java.vm.info,sysinfo,,,"mixed mode",1354212194290
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1354212194290
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354212194290
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1354212194290
java.vm.specification.version,sysinfo,,,"1.7",1354212194290
java.vm.vendor,sysinfo,,,"Oracle Corporation",1354212194290
java.vm.version,sysinfo,,,"23.5-b02",1354212194290
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1354212194368
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1354212194446
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1354212194446
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354212195803
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354212195835
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1354212195866
